Brand,Brand_Model,Color,Platform,MRP,Selling_Price,Discount_Price,Discount,RAM,ROM,Display_Size,Battery,Front_Cam(MP),Back_Cam(MP),Processor,Ratings,Rating_Count,Review_Count
tecno,tecno pova 6,azure sky,flipkart,15999.0,9499.0,6500.0,40.0,6,128,6.67,5000,8,50,dimensity 6300 5g processor,4.3,3544,202
motorola,motorola edge 60,pantone mykonos blue,flipkart,25999.0,22999.0,3000.0,11.0,8,256,6.67,5500,32,50,dimensity 7400 processor,4.5,42821,2423
vivo,vivo t4 5g,phantom grey,flipkart,25999.0,21999.0,4000.0,15.0,8,128,6.77,7300,32,32,snapdragon 7s gen 3 5g processor,4.5,40354,1979
poco,poco m7 pro,lavender frost,flipkart,18999.0,12999.0,6000.0,31.0,6,128,6.67,5110,20,20,dimensity 7025 ultra processor,4.3,17015,1472
samsung,samsung galaxy a35,awesome iceblue,flipkart,33999.0,19999.0,14000.0,41.0,8,128,6.6,5000,13,20,samsung exynos 1380 processor,4.3,22174,1486
realme,realme p3 5g,space silver,flipkart,19999.0,15999.0,4000.0,20.0,6,128,6.67,6000,16,50,6 gen 4 processor,4.4,19673,1422
iqoo,iqoo z10x 5g,ultramarine,flipkart,17499.0,13690.0,3809.0,21.0,6,128,6.7,6500,3,2,dimensity 7300 ultimate processor,4.4,2066,120
oppo,oppo k13x 5g,midnight violet,flipkart,15999.0,11999.0,4000.0,25.0,4,128,6.67,6000,8,50,dimensity 6300 processor,4.5,1949,310
realme,realme gt 6,razor green,flipkart,43999.0,27999.0,16000.0,36.0,8,256,6.78,5500,32,50,8s gen 3 mobile platform processor,4.5,3582,370
realme,realme p2 pro,parrot green,flipkart,25999.0,16999.0,9000.0,34.0,8,128,6.7,5200,32,50,7s gen2 processor,4.4,17510,1251
realme,realme c61,marble black,flipkart,8999.0,7699.0,1300.0,14.0,4,64,6.745,5000,5,50,t612 processor,4.4,9818,322
nothing,nothing phone,3a grey,flipkart,32999.0,28999.0,4000.0,12.0,8,128,6.6,5000,50,20,7s gen3 processor,4.5,5898,545
cmf,cmf by nothing,black,flipkart,22999.0,18999.0,4000.0,17.0,8,128,6.77,5000,16,50,dimensity 7300 pro 5g processor,4.4,15881,1311
vivo,vivo y19e,titanium silver,flipkart,11999.0,7999.0,4000.0,33.0,4,64,6.74,5500,5,50,t7225 processor,4.3,1565,56
infinix,infinix note 50x,enchanted purple,flipkart,14999.0,11499.0,3500.0,23.0,6,128,6.67,5500,8,32,dimensity 7300 ultimate processor,4.3,10347,1032
realme,realme p3 5g,space silver,flipkart,19999.0,15999.0,4000.0,20.0,6,128,6.67,6000,16,108,6 gen 4 processor,4.4,19673,1422
iqoo,iqoo z10 lite,cyber green,flipkart,13999.0,10310.0,3689.0,26.0,4,128,6.74,6000,16,50,unisoc processor,4.2,91,5
realme,realme p3 pro,saturn brown,flipkart,28999.0,19999.0,9000.0,31.0,8,128,6.83,6000,16,108,7s gen 3 mobile platform processor,4.4,6148,536
motorola,motorola g85 5g,urban grey,flipkart,20999.0,15999.0,5000.0,23.0,8,128,6.67,5000,32,50,6s gen 3 processor,4.4,217987,11163
vivo,vivo t4 5g,phantom grey,flipkart,25999.0,21999.0,4000.0,15.0,8,128,6.77,7300,32,50,snapdragon 7s gen 3 5g processor,4.5,40354,1979
motorola,motorola g64 5g,berry red,flipkart,19999.0,15999.0,4000.0,20.0,12,256,6.5,6000,16,20,dimensity 7025 processor,4.2,85325,5457
tecno,tecno spark go,turquoise green,flipkart,8499.0,6699.0,1800.0,21.0,3,64,6.67,5000,12,13,t7250 processor,4.3,654,53
redmi,redmi a4 5g,starry black,flipkart,10999.0,8630.0,2369.0,21.0,4,64,6.88,5160,8,50,t7250 processor,4.3,7020,337
oppo,oppo reno14 5g,pearl white,flipkart,42999.0,37999.0,5000.0,11.0,8,256,6.59,6000,50,50,dimensity 8350 processor,4.4,1129,135
samsung,samsung galaxy s24,blue,flipkart,59999.0,35999.0,24000.0,40.0,8,128,6.7,4700,10,32,exynos 2400e processor,4.5,12849,1043
samsung,samsung galaxy s24,blue,flipkart,59999.0,35999.0,24000.0,40.0,8,128,6.7,4700,10,50,exynos 2400e processor,4.5,12849,1043
apple,apple iphone 16,ultramarine,flipkart,89900.0,79999.0,9901.0,11.0,8,128,6.7,4700,12,50,a18 chip 6 core processor processor,4.6,3067,171
oppo,oppo f27 pro+,midnight navy,flipkart,32999.0,18749.0,14250.0,43.0,8,128,6.7,5000,8,50,dimensity 7050 processor,4.4,6858,307
samsung,samsung galaxy s24,titanium gray,flipkart,134999.0,82997.0,52002.0,38.0,12,256,6.8,5000,12,50,snapdragon 8 gen 3 processor,4.6,4020,353
oneplus,oneplus nord ce4,mega blue,flipkart,20999.0,16838.0,4161.0,19.0,8,128,6.67,5500,32,50,snapdragon 8 gen 3 processor,4.4,25654,1235
samsung,samsung galaxy a35,awesome navy,flipkart,33999.0,19999.0,14000.0,41.0,8,128,6.6,5000,13,20,samsung exynos 1380 processor,4.3,22174,1486
poco,poco x7 5g,yellow,flipkart,24999.0,15999.0,9000.0,36.0,8,128,6.67,5500,20,50,dimensity 7300 ultra processor,4.3,13142,1155
poco,poco m7 pro,olive twilight,flipkart,18999.0,12999.0,6000.0,31.0,6,128,6.67,5110,20,20,dimensity 7025 ultra processor,4.3,17015,1472
nothing,nothing phone,3a white,flipkart,27999.0,24999.0,3000.0,10.0,8,128,6.67,5000,32,50,7s gen3 processor,4.5,29639,2517
iqoo,iqoo z10x 5g,ultramarine,flipkart,17499.0,13690.0,3809.0,21.0,6,128,6.7,6500,8,50,7s gen3 processor,4.4,2066,120
iqoo,iqoo z10x 5g,ultramarine,flipkart,17499.0,13690.0,3809.0,21.0,6,128,6.7,6500,8,64,dimensity 8350 ultimate processor,4.4,2066,120
infinix,infinix gt 30,blade white,flipkart,31999.0,24999.0,7000.0,21.0,8,256,6.78,5500,13,50,dimensity 8350 ultimate processor,4.6,8521,450
iqoo,iqoo z10 5g,glacier silver / silver,flipkart,27999.0,23358.0,4641.0,16.0,8,256,6.77,7300,12,50,dimensity 7300 pro 5g processor,4.4,2045,114
apple,apple iphone 16,ultramarine,flipkart,99900.0,89999.0,9901.0,9.0,6,256,6.7,5000,12,64,a18 chip 6 core processor processor,4.6,3067,171
samsung,samsung galaxy s24,titanium black,flipkart,134999.0,89999.0,45000.0,33.0,12,256,6.8,5000,12,50,snapdragon 8 gen 3 processor,4.6,4020,353
infinix,infinix gt 30,blade white,flipkart,31999.0,24999.0,7000.0,21.0,8,256,6.78,5500,13,50,dimensity 8350 ultimate processor,4.4,931,72
motorola,motorola edge 50,caneel bay,flipkart,41999.0,27999.0,14000.0,33.0,12,256,6.7,4500,50,50,7 gen 3 mobile platform processor,4.4,65435,4389
oppo,oppo f27 pro+,midnight navy,flipkart,32999.0,18749.0,14250.0,43.0,8,128,6.7,5000,8,108,dimensity 7050 processor,4.4,6858,307
samsung,samsung galaxy f06,bahama blue,flipkart,13999.0,8699.0,5300.0,37.0,4,64,6.7,5000,8,50,dimensity 6300 processor,4.1,17201,1184
realme,realme p3 ultra,neptune blue,flipkart,31999.0,22999.0,9000.0,28.0,8,128,6.83,6000,16,108,dimensity 8350 ultra processor,4.4,5684,699
infinix,infinix note 50s,marine drift,flipkart,19999.0,14999.0,5000.0,25.0,6,128,6.78,5500,13,20,dimensity 7300 ultimate processor,4.4,1276,86
tecno,tecno pova 6,azure sky,flipkart,15999.0,9499.0,6500.0,40.0,6,128,6.67,5000,8,32,dimensity 6300 5g processor,4.3,3544,202
poco,poco f7 5g,frost white,flipkart,35999.0,31999.0,4000.0,11.0,12,256,6.83,7550,20,32,8s gen 4 processor,4.4,5646,699
apple,apple iphone 16,desert titanium,flipkart,119900.0,107900.0,12000.0,10.0,6,128,6.3,6500,12,20,a18 pro chip 6 core processor processor,4.6,2499,125
samsung,samsung galaxy s24,onyx black,flipkart,79999.0,52999.0,27000.0,33.0,8,256,6.2,4000,12,50,exynos 2400 processor,4.6,6901,390
poco,poco f7 5g,phantom black,flipkart,37999.0,33999.0,4000.0,10.0,12,512,6.83,7550,20,50,8s gen 4 processor,4.4,5646,699
samsung,samsung galaxy s24,marble gray,flipkart,74999.0,46999.0,28000.0,37.0,8,128,6.2,4000,12,20,exynos 2400 processor,4.6,6901,390
google,google pixel 9,obsidian,flipkart,79999.0,64999.0,15000.0,18.0,12,256,6.3,4700,5,50,google tensor g4 processor,4.5,3198,316
apple,apple iphone 13,midnight,flipkart,49900.0,44999.0,4901.0,9.0,16,128,6.1,4600,12,50,a15 bionic chip processor,4.6,292993,13973
oneplus,oneplus 13r 5g,astral trail,flipkart,44999.0,39883.0,5116.0,11.0,12,256,6.78,6000,32,50,a15 bionic chip processor,4.5,2289,168
realme,realme p3 ultra,neptune blue,flipkart,31999.0,22999.0,9000.0,28.0,8,128,6.83,6000,16,50,dimensity 8350 ultra processor,4.4,5684,699
poco,poco x7 pro,obsidian black,flipkart,33999.0,24999.0,9000.0,26.0,12,256,6.67,6550,20,108,dimensity d8400 ultra processor,4.4,4609,577
samsung,samsung galaxy m35,daybreak blue,flipkart,25999.0,16690.0,9309.0,35.0,8,128,6.6,6000,16,50,a18 chip 6 core processor processor,4.3,3633,249
apple,apple iphone 16,natural titanium,flipkart,119900.0,107900.0,12000.0,10.0,12,128,6.3,4300,12,108,a18 pro chip 6 core processor processor,4.6,2499,125
samsung,samsung galaxy m35,daybreak blue,flipkart,25999.0,16690.0,9309.0,35.0,8,128,6.6,6000,13,50,a18 pro chip 6 core processor processor,4.3,3633,249
oneplus,oneplus nord ce4,mega blue,flipkart,20999.0,16838.0,4161.0,19.0,8,128,6.67,5500,32,50,a18 pro chip 6 core processor processor,4.4,25654,1235
samsung,samsung guru 1200,black,flipkart,1699.0,792.0,907.0,53.0,4,64,1.52,800,16,50,a18 pro chip 6 core processor processor,3.1,5194,373
iqoo,iqoo neo 10r,raging blue,flipkart,31999.0,24195.0,7804.0,24.0,8,128,6.78,6400,13,50,a18 pro chip 6 core processor processor,4.5,978,75
samsung,samsung galaxy m35,daybreak blue,flipkart,25999.0,16690.0,9309.0,35.0,8,128,6.6,6000,16,50,a18 pro chip 6 core processor processor,4.3,3633,249
oppo,oppo reno14 5g,forest green,flipkart,42999.0,37999.0,5000.0,11.0,8,256,6.59,6000,12,50,dimensity 8350 processor,4.4,1129,135
redmi,redmi 13 5g,black diamond,flipkart,19999.0,13059.0,6940.0,34.0,8,128,6.79,5030,20,108,dimensity 8350 processor,4.3,10383,593
redmi,redmi a4 5g,starry black,flipkart,10999.0,8630.0,2369.0,21.0,4,64,6.88,5160,12,50,dimensity 8350 processor,4.3,7020,337
samsung,samsung galaxy m35,moonlight blue,flipkart,24499.0,15939.0,8560.0,34.0,6,128,6.6,6000,8,50,dimensity 8350 processor,4.4,24821,1984
poco,poco x7 5g,yellow,flipkart,27999.0,17999.0,10000.0,35.0,8,256,6.67,5500,20,50,dimensity 7300 ultra processor,4.3,13142,1155
vivo,vivo t3 5g,crystal flake,flipkart,22999.0,16999.0,6000.0,26.0,8,128,6.67,5000,16,50,dimensity 7200 processor,4.4,131464,8085
apple,apple iphone 16,white,flipkart,89900.0,79999.0,9901.0,11.0,6,128,6.7,4300,12,50,dimensity 7200 processor,4.6,3067,171
samsung,samsung guru music,blue,flipkart,1999.0,930.0,1069.0,53.0,4,64,2.0,1100,13,108,a18 chip 6 core processor processor,3.1,3020,180
motorola,motorola edge 60,pantone gibraltar sea,flipkart,28999.0,22999.0,6000.0,20.0,8,256,6.67,5000,32,50,7s gen 2 mobile processor processor,4.3,7957,670
poco,poco c71,cool blue,flipkart,8999.0,6399.0,2600.0,28.0,4,64,6.88,5200,8,50,unisoc t7250 processor,3.9,21407,1080
motorola,motorola edge 60,pantone dazzling blue,flipkart,36999.0,29999.0,7000.0,18.0,8,256,6.7,6000,12,108,dimensity 8350 processor,4.4,11714,1091
poco,poco x7 5g,glacier green,flipkart,24999.0,15999.0,9000.0,36.0,8,128,6.67,5500,20,50,dimensity 7300 ultra processor,4.3,13142,1155
samsung,samsung galaxy s24,onyx black,flipkart,74999.0,46999.0,28000.0,37.0,8,128,6.2,4000,12,50,exynos 2400 processor,4.6,6901,390
realme,realme gt 6,razor green,flipkart,43999.0,27999.0,16000.0,36.0,8,256,6.78,5500,32,20,8s gen 3 mobile platform processor,4.5,3582,370
samsung,samsung galaxy m35,moonlight blue,flipkart,24499.0,15939.0,8560.0,34.0,6,128,6.6,6000,16,50,8s gen 3 mobile platform processor,4.4,24821,1984
realme,realme 14x 5g,crystal black,flipkart,16999.0,14999.0,2000.0,11.0,6,128,6.67,6000,8,50,dimensity 6300 processor,4.3,10608,523
realme,realme 14x 5g,crystal black,flipkart,16999.0,14999.0,2000.0,11.0,6,128,6.67,6000,8,32,dimensity 6300 processor,4.3,10608,523
oppo,oppo reno14 5g,pearl white,flipkart,42999.0,37999.0,5000.0,11.0,8,256,6.59,6000,12,50,dimensity 8350 processor,4.4,1129,135
nothing,nothing phone,3a grey,flipkart,32999.0,28999.0,4000.0,12.0,8,128,6.59,5000,16,50,7s gen3 processor,4.5,5898,545
apple,apple iphone 15,black,flipkart,69900.0,64900.0,5000.0,7.0,12,128,6.1,5000,12,50,a16 bionic chip 6 core processor processor,4.6,262580,9397
poco,poco m6 plus,ice silver,flipkart,15999.0,10080.0,5919.0,36.0,6,128,6.79,5030,13,50,snapdragon 4 gen2 ae processor,4.2,59597,3573
vivo,vivo t3 pro,sandstone orange,flipkart,29999.0,22999.0,7000.0,23.0,8,128,6.77,5500,16,32,snapdragon 7 gen 3 processor,4.5,84614,5328
vivo,vivo t3 pro,sandstone orange,flipkart,29999.0,22999.0,7000.0,23.0,8,128,6.77,5500,16,50,snapdragon 7 gen 3 processor,4.5,84614,5328
samsung,samsung galaxy a55,awesome navy,flipkart,42999.0,25630.0,17369.0,40.0,8,128,6.6,5000,32,50,samsung exynos 1480 processor,4.4,2011,154
realme,realme narzo n61,marble black,flipkart,8641.0,7649.0,992.0,11.0,4,64,6.74,5000,12,20,samsung exynos 1480 processor,4.3,5693,271
realme,realme narzo n61,marble black,flipkart,8641.0,7649.0,992.0,11.0,4,64,6.74,5000,13,32,samsung exynos 1480 processor,4.3,5693,271
iqoo,iqoo neo 10r,raging blue,flipkart,31999.0,24193.0,7806.0,24.0,8,128,6.78,6400,16,50,sc6531e processor,4.5,978,75
google,google pixel 8a,obsidian,flipkart,52999.0,37999.0,15000.0,28.0,8,128,6.1,4404,13,108,tensor g3 processor,4.3,7112,581
tecno,tecno pop 9,glittery white,flipkart,8499.0,6499.0,2000.0,23.0,3,64,6.67,5000,12,13,tensor g3 processor,4.0,69,2
realme,realme narzo 80x,sunlit gold,flipkart,16999.0,12120.0,4879.0,28.0,8,128,6.72,6000,16,50,tensor g3 processor,4.2,559,21
vivo,vivo t3 5g,crystal flake,flipkart,22999.0,16999.0,6000.0,26.0,8,128,6.67,5000,16,108,dimensity 7200 processor,4.4,131464,8085
redmi,redmi a5,just black,flipkart,8999.0,6499.0,2500.0,27.0,3,64,6.88,5200,8,20,t7250 processor,4.3,2309,116
poco,poco m6 plus,ice silver,flipkart,17999.0,11499.0,6500.0,36.0,8,128,6.79,5030,13,108,snapdragon 4 gen2 ae processor,4.2,11513,724
realme,realme p3 ultra,neptune blue,flipkart,31999.0,22999.0,9000.0,28.0,8,128,6.83,6000,16,32,dimensity 8350 ultra processor,4.4,5684,699
realme,realme narzo 80,crystal purple,flipkart,14999.0,11274.0,3725.0,24.0,6,128,6.67,6000,12,50,dimensity 8350 ultra processor,4.6,43,0
iqoo,iqoo z10 lite,cyber green,flipkart,13999.0,10310.0,3689.0,26.0,4,128,6.74,6000,8,50,dimensity 8350 ultra processor,4.2,91,5
apple,apple iphone 15,pink,flipkart,69900.0,64900.0,5000.0,7.0,16,128,6.1,4300,12,108,a16 bionic chip 6 core processor processor,4.6,262580,9397
tecno,tecno spark go,turquoise green,flipkart,8499.0,6699.0,1800.0,21.0,3,64,6.67,5000,3,13,t7250 processor,4.3,6358,452
tecno,tecno spark go,turquoise green,flipkart,8499.0,6699.0,1800.0,21.0,3,64,6.67,5000,3,13,t7250 processor,4.3,74589,9658
google,google pixel 8a,bay,flipkart,52999.0,37999.0,15000.0,28.0,8,128,6.1,4404,13,50,tensor g3 processor,4.3,7112,581
